baidu,百度
傲睨一世,昂首望天
傲世轻物,傲睨万物
傲雪欺霜,坚贞不屈
傲卒多败,骄兵必败
傲卒多败,骄者必败
奥秘,奥妙
奥妙,奇妙
奥妙,微妙
懊悔,后悔
懊悔,悔恨
懊恼,烦恼
懊丧,沮丧
八、,8、
八百壮士,四行孤军
八方受敌,四面楚歌
八竿子打不着,八棍子撂不着
八股,陈腔滥调
八怪七喇,稀奇古怪
八棍子撂不着,八竿子打不着
八门五花,五花八门
八面见光,八面玲珑
八面见光,面面俱到
八面见光,面面俱圆
八面玲珑,八面见光
八面玲珑,面面俱到
八面玲珑,左右逢源
八面受敌,四面楚歌
八面威风,气势汹汹
八字帖,发草帖
巴不得,恨不得
巴结,凑趣
巴结,趋承
巴望,盼望
扒开,拨开
扒犁,爬犁
扒手,窃匪
扒手,窃贼
拔除,铲除
拔锚,起锚
拔苗助长,适得其反
拔苗助长,揠苗助长
拔苗助长,欲速不达
跋扈,嚣张
跋扈,专横
跋前踬后,动辄得咎
跋山涉水,奔走风尘
跋山涉水,到处奔走
跋山涉水,翻山越岭
跋山涉水,风餐露宿
跋山涉水,抗尘走俗
跋山涉水,四处奔波
跋文,后记
把臂而谈,促膝谈心
把柄,痛处
把持,操纵
把持,独霸
把持,垄断
把脉,评脉
把脉,切脉
把式,把势
把势,把式
把守,扼守
把守,拒守
把守,看守
把稳,留心
把稳,留意
把握,掌控
把握,掌握
把戏,花招
把戏,幻术
把戏,魔术
罢黜,免除
罢了,而已
罢免,免职
罢手,干休
罢手,收手
罢职,撤职
霸道,蛮横
霸道,强横
霸术,权术
霸占,并吞
霸占,攻克
霸占,攻陷
霸占,占领
白?,利剑
白,利剑
白璧微瑕,瑕不掩瑜
白璧无瑕,完美无缺
白痴,痴人
白痴,呆子
白搭,白费
白发,鹤发
白发苍颜,皓首苍颜
白发银须,庞眉皓发
白费,白搭
白费,空费
白费心血,枉费心机
白话,口语
白净,白皙
白驹过隙,光阴似箭
白腊,石蜡
白蜡,地蜡
白日,白天
白日飞升,白日升天
白日升天,白日飞升
白手,赤手
白手,空手
白手起家,自力更生
白手起家,自食其力
白叟,老人
白天,白日
白天,白昼
白天,日间
白皙,白净
白云苍狗,沧海桑田
白种人,碧眼儿
白昼,白天
百般,各式
百般,各样
百般,千般
百步穿杨,弹无虚发
百尺竿头,扶摇直上
百辞莫辩,有口难言
百读不厌,味同嚼蜡
百发百中,百步穿杨
百发百中,矢无虚发
百废具兴,百废俱兴
百废俱兴,百废具兴
百感交集,悲喜交集
百家争鸣,百花怒放
百孔千疮,哀鸿遍野
百孔千疮,赤地千里
百孔千疮,疮痍满目
百孔千疮,创痍满目
百孔千疮,民生凋敝
百口,合家
百口,举家
百口,全家
百了千当,千了百当
百里挑一,凤毛麟角
百密一疏,鸭蛋虽密也有缝
百年不遇,千载难逢
百思不解,大惑不解
百无禁忌,童言无忌
百姓,苍生
百姓,公民
百姓,国民
百姓,黎民
百姓,庶民
百叶窗,百页窗
百页窗,百叶窗
百依百顺,视为心腹
百依百顺,唯命是从
百依百顺,言听计从
百战百胜,攻无不克
百战百胜,战无不胜
百战不殆,百战百胜
百折不回,百折不挠
百折不挠,坚定不移
百折不挠,坚韧不拔
百折不挠,绝不屈服
摆布,支配
摆布,左右
摆荡,晃动
摆荡,挥动
摆架子,搭架子
摆阔,显摆
摆列,胪列
摆列,罗列
摆弄,玩弄
摆设,安排
摆设,部署
摆设,陈设
摆设,铺排
摆脱,解脱
摆脱,脱节
败北,失利
败北,战败
败行,劣行
败坏,废弛
败尽家业,倾家荡产
败类,莠民
败露,败事
败落,没落
败落,衰落
败事,败露
败退,溃退
败兴,没趣
败兴,扫兴
拜把兄弟,换帖兄弟
拜把兄弟,结拜兄弟
拜别,离去
拜访,访问
拜访,造访
拜服,佩服
拜鬼求神,求神拜佛
拜鬼求神,求神拜鬼
拜候,访谒
拜会,拜见
拜见,拜会
拜见,参见
拜年,贺年
拜托,奉求
拜托,寄托
拜托,请托
拜望,拜见
拜望,拜谒
拜望,访候
拜望,探访
拜望,探望打听
拜谒,拜见
扳缠不清,纠缠不清
扳缠不清,牵丝扳藤
扳话,攀话
扳连,干连
扳连,瓜葛
扳连,牵缠
扳连,牵涉
班驳,斑驳
班门弄斧,布鼓雷门
班配,般配
班师,凯旅
般配,班配
般游,盘游
颁布,公布
颁发,颁布
颁发,发表
斑白,花白
斑驳,班驳
斑驳陆离,光怪陆离
斑点,黑点
斑点,雀斑
斑纹,花纹
搬动,挪动转移
搬家,搬场
搬家,搬迁
搬家,迁居
搬弄是非,挑拨离间
搬迁,搬家
板屋,木屋
板滞,呆板
版图,邦畿
版图,幅员
版图,国界
版图,疆土
办法,法子
办法,方法
办法,举措
办法,门径
办法,设施
办好,办妥
办理,操持
办理,打点
办理,管理
办理,解决
办事,处事
办事,服务
办事,供职
办事,管事
办事,就事
办事,任事
办事,做事
办妥,办好
办妥,搞妥
半壁河山,半壁江山
半壁江山,残山剩水
半壁江山,荆棘铜驼
半斤八两,各有千秋
半斤八两,工力悉敌
半斤八两,平分秋色
半斤八两,旗鼓相当
半斤八两,势均力敌
半晌,片刻
半数,对折
半数,折半
半途,中途
半途而废,功败垂成
半途而废,功亏一篑
半途而废,前功尽弃
半吐半吞,欲言又止
半推半就,不即不离
半信半疑,将信将疑
半信半疑,无可置疑
半夜,三更
半夜,三鼓
半夜,午夜
半夜,子夜
半子,东床
半子,女婿
伴随,陪伴
伴随,随同
伴同,伴随
伴有,伴随
拌合,拌杂
拌合,搀合
拌合,搀和
拌杂,拌合
扮演,饰演
扮装,化装
邦本,国本
邦本,国脉
邦畿,版图
邦家之光,国家荣誉
邦交,国交
帮忙,帮手
帮忙,帮助
帮忙,协助
帮手,辅佐
帮手,副手
帮凶,爪牙
帮助,帮忙
帮助,扶助
帮助,辅助
帮助,接济
帮助,匡助
帮助,协助
帮助,赞助
榜书,署书
榜样,典范
榜样,楷模
榜样,模范
棒棰,棒槌
棒槌,棒棰
傍观,旁观
傍门,歪路
傍晚,薄暮
傍晚,黄昏
傍友,清客
磅礴,澎湃
包办,包揽
包办,承办
包办,经办
包庇,庇护
包庇,偏护
包庇,容隐
包藏祸心,存心不良
包藏祸心,心怀叵测
包抄,包围
包袱,负担
包袱,累赘
包管,保证
包管,担保
包含,包括
包涵,包容
包涵,海涵
包涵,见谅
包涵,见原
包涵,留情
包涵,原谅
包括,包含
包括,包罗
包括,包孕
包揽,包办
包罗,包含
包罗,包括
包罗,搜罗
包罗万象,一应俱全
包罗万象,应有尽有
包容,包涵
包容,容纳
包围,包抄
包围,困绕
包围,笼罩
包围,围困
包孕,包含
孢子,胞子
胞子,孢子
褒奖,嘉奖
褒扬,表扬
薄材,绵力
薄礼,厚礼
薄命,苦命
薄暮,傍晚
薄暮,黄昏
薄情,痴情
薄弱,单薄
薄弱,亏弱
薄弱,柔弱虚弱
薄弱,软弱
薄弱,衰弱懦弱
薄弱,微弱
薄酌,菲酌
饱经风霜,历尽沧桑
饱满,丰满
饱食,餍饫
宝贝,宝物
宝贝,法宝
宝贝,瑰宝
宝贵,贵重
宝贵,名贵
宝贵,珍贵
宝缄,大札
宝塔,浮图
宝塔,浮屠
宝物,宝贝
宝穴,铜山
保镖,保镳
保镳,警卫
保藏,收藏
保持,坚持
保持,连结
保存,保管
保存,保留
保存,留存
保护,庇护
保护,护卫
保护,回护
保护,维护
保护,掩护
保护,珍爱
保举,举荐
保举,推荐
保留,保存
保母,保姆
保姆,保母
保守,守旧
保卫,捍卫
保卫,警备
保卫,守护
保卫,守卫
保养,调养
保养,颐养
保障,保证
保证,包管
保重,珍重
鸨母,龟婆
堡垒,碉堡
报酬,报答
报酬,酬劳
报酬,待遇
报答,酬报
报答,酬金
报答,酬谢
报答,答谢
报导,报道
报道,报导
报告,陈述
报告,陈说
报告,陈诉
报告,呈报
报告,呈文
报告,敷陈
报告,告诉
报告,讲述
报告,讲演
报告,申报
报告请示,汇报
报命,应命
报歉,道歉
报怨,埋怨
抱病,得病
抱病,扶病
抱病,害病
抱病,患病
抱病,罹病
抱病,染病
抱病,生病
抱残守缺,陈陈相因
抱残守缺,固步自封
抱残守缺,故步自封
抱残守缺,墨守成规
抱残守缺,因循守旧
抱负,理想
抱负,志向
抱恨,含恨
抱恨,怀愁
抱恨,怀怨
抱恨,赍恨
抱恨终天,死不瞑目
抱歉,抱愧
抱歉,负疚
抱歉,歉仄
抱屈,抱冤
抱屈,负屈
抱屈,含冤
抱屈,受冤
抱头,捧首
抱头,捧头
抱头鼠窜,狼狈而逃
抱头鼠窜,溜之大吉
抱头鼠窜,抛戈弃甲
抱头鼠窜,逃之夭夭
抱冤,抱屈
抱怨,埋怨
抱怨,诉苦
豹隐,遁世
暴跌,狂跌
暴动,暴乱
暴发,爆发
暴风,狂风
暴光,曝光
暴戾恣睢,穷凶极恶
暴露,表露
暴露,露出
暴露,裸露
暴露无遗,原形毕露
暴乱,暴动
暴虐,残暴
暴虐,残酷
暴虐,残忍
暴虐,惨酷
暴虐,凶狠
暴虐,凶横
暴跳如雷,大发雷霆
暴徒,大盗
暴徒,歹徒
暴徒,恶徒
暴徒,坏人
暴徒,奸人
暴躁,浮躁
暴躁,急躁
暴躁,躁急
暴涨,暴跌
暴政,虐政
爆发,迸发
爆仗,爆竹
爆仗,炮竹
爆竹,爆仗
杯弓蛇影,草木皆兵
杯水车薪,无济于事
卑鄙,卑劣
卑鄙,鄙俚
卑鄙,鄙俗
卑鄙,粗俗
卑鄙,下游
卑鄙,庸俗
卑躬屈膝,卑恭屈节
卑躬屈膝,不屈不挠
卑躬屈膝,奴颜婢色
卑躬屈膝,奴颜婢膝
卑躬屈膝,奴颜媚骨
卑贱,卑下
卑劣,卑鄙
卑劣,拙劣
卑劣手段,鬼蜮伎俩
卑视,贱视
卑视,奴视
卑微,低微
卑下,卑贱
悲哀,悲痛
悲惨,悲凉
悲惨,凄惨
悲悼,哀悼
悲悼,哀伤
悲悼,伤悼
悲忿,悲愤
悲愤,悲忿
悲观,灰心
悲观,失望
悲观,颓废
悲观,消极
悲欢离合,离合悲欢
悲剧,喜剧
悲凉,悲惨
悲凉,凄凉
悲凄,楚切
悲凄,凄切
悲泣,悲啼
悲伤,哀痛
悲伤,悲戚
悲伤,悲痛
悲叹,哀叹
悲叹,叹伤
悲啼,哀号
悲啼,悲泣
悲啼,号哭
悲啼,号泣
悲恸,悲哀
悲痛,哀思
悲痛,悲哀
悲痛,悲恸
悲痛,沉痛
悲痛欲绝,欣喜若狂
悲喜交集,百感交集
碑本,碑帖
碑本,石本
碑帖,碑本
北斗,斗极
北方,南方
北风,冬风
北风,寒风
北国,南国
北里,娼寮
北里,勾栏
备案,存案
备案,立案
背城借一,破釜沉舟
背道而驰,各走各路
背道而驰,南辕北辙
背地,背后
背工,后手
背工,回扣
背工,夹帐
背后,面前
背井离乡,衣锦还乡
背景,布景
背景,后台
背景,靠山
背景,配景
背离,背叛
背理,悖理
背面,反面
背面,后背
背面,后面
背面,后头
背叛,变节
背叛,倒戈
背叛,反水
背水一战,破釜沉舟
背信,背约
背信弃义,言而无信
背阴,向阳
背约,背信
背运,走运
背注一掷,孤注一掷
背注一掷,决一死战
悖理,背理
被宠若惊,受宠若惊
被动,主动
被告,原告
被骗,上当
被骗,上圈套
被骗,受愚
被迫,自愿
辈分,辈份
辈份,辈分
奔波,奔走
奔驰,奔跑
奔驰,奔腾
奔放,豪放
奔流,奔腾
奔忙,奔波
奔忙,奔走
奔跑,奔驰
奔腾,奔跑
奔腾,飞跃
奔走,奔波
奔走,奔忙
奔走,驰驱
奔走,驱驰
本币,辅币
本地,当地
本地货,土产
本分,天职
本籍,原籍
本籍,祖籍
本家儿,事主
本来,原本
本来,原来
本来,正本
本领,本事
本领,才干
本领,才具
本领,才力
本领,才略
本领,才智
本领,材干
本领,伎俩
本领,技能花样
本领,技巧
本领,能力
本领,身手
本领,手段
本领,手腕
本末倒置,本末颠倒
本末倒置,轻重倒置
本末倒置,舍本逐末
本能,天性
本年,今年
本钱,成本
本人,自己
本日,今日
本日,今天
本色,本性
本色,本质
本身,自己
本身,自身
本事,本领
本事儿,当事者
本土,外乡
本位主义,个人主义
本相,底细
本相,原形
本心,本意天良
本心,本旨
本心,良心
本心,素心
本性,赋性
本性,个性
本性,天性
本性难移,个性难改
本性难移,脱胎换骨
本义,转义
本原,来源根基
本源,根源
本旨,本心
本质,实质
本质,素质
本子,簿本
本子,簿子
笨伯,笨蛋
笨伯,蠢人
笨蛋,笨伯
笨口拙舌,伶牙俐齿
笨头笨脑,傻里傻气
笨重,粗笨
笨重,轻巧
笨拙,蠢笨
笨拙,愚笨
笨拙,拙笨
笨嘴,笨口
崩溃,解体
崩溃,溃散
崩溃,溃逃
崩溃,瓦解
逼不得已,必不得以
逼近,迫近
逼近,迫临
逼近,切近亲近
逼良为娼,迫良为娼
逼迫,强逼
逼迫,强迫
逼迫,强制
逼上梁山,铤而走险
逼上梁山,揭竿而起
逼真,传神
逼真,真切
鼻祖,开山祖师
比比皆是,触目皆是
比比皆是,屈指可数
比方,比如
比方,比喻
比方,例如
比方,譬喻
比方,歧
比划,比画
比画,比划
比及,等到
比较,比力
比较,比拟
比较,对照
比力,比较
比力,斗劲
比力,角力计较
比力,较量
比量齐观,同等看待
比拟,比较
比拟,对比
比拟,相比
比年,近年
比年,连年
比年,频年
比年不登,比岁不登
比年不登,岁比不登
比如,比方
比如,好比
比赛,角逐
比赛,竞赛
比手划脚,指手画脚
比岁不登,比年不登
比武,交锋
比武,交手
比翼双飞,凤凰于飞
比翼双飞,鹿车共勉
比翼双飞,鸾凤和鸣
比翼双飞,琴瑟和谐
比翼双飞,琴瑟调和
比翼双飞,琴瑟同谱
比翼双飞,琴瑟同谐
比翼双飞,琴瑟之好
比喻,比方
比照,对比
比照,对照
彼岸,此岸
彼苍,苍天
彼苍,青天
彼苍,上苍
笔底生花,挥洒自如
笔耕墨耘,卖文为活
笔供,口供
笔划,笔画
笔画,笔划
笔迹,字迹
笔据,凭单
笔墨,翰墨
笔墨,文字
笔试,口试
笔挺,笔直
笔心,笔芯
笔芯,笔心
笔战,舌战
笔直,笔挺
笔直,蜿蜒
笔直粗壮,挺拔伟岸
笔走龙蛇,鸾翔凤翥
鄙见,管见
鄙见,拙见
鄙俚,卑鄙
鄙吝,吝啬
鄙吝,小器
鄙陋,猥琐
鄙弃,唾弃
鄙弃,厌弃
鄙人,不才
鄙视,鄙夷
鄙视,藐视
鄙视,蔑视
鄙视,漠视
鄙视,歧视
鄙视,轻视
鄙视,小看
鄙俗,高雅
鄙俗,陋俗
鄙俗不堪,俗不可耐
鄙言,粗言
鄙谚,俚语
鄙谚,俗语
鄙意,愚见
必不得已,出于无奈
必不得已,迫不得已
必定,肯定
必定,一定
必恭必敬,恭恭敬敬
必将,势必
必然,必定
必然王国,自由王国
必然性,偶然性
必须,必需
必需,必须
必要,需要
必由之路,殊途同归
毕恭毕敬,必恭必敬
毕竟,究竟
毕竟,究竟结果
毕命,断命
毕命,去逝
毕命,死灭
毕生,一生
毕生,终生
毕业,结业
毕业,卒业
闭会,休会
闭口,杜口
闭口,缄口
闭口,绝口
闭口,开口
闭口,钳口
闭口无言,缄口藏舌
闭口无言,缄口结舌
闭口无言,缄口无言
闭门不出,韬光养晦
闭门不出,韬匮藏珠
闭门塞窦,关门落锁
闭门造车,凭空杜撰
闭门造车,凭空捏造
闭幕,落幕
闭幕,终结
闭庭,开庭
闭月羞花,沉鱼落雁
闭月羞花,花容月貌
庇护,呵护
庇护,卵翼
庇荫,荫庇
荜路蓝缕,筚路蓝缕
哔叽,羽缎
敝宅,寒家
婢女,梅香
婢女,女仆
婢女,使女
筚路蓝缕,荜路蓝缕
碧眼儿,白种人
弊病,弊端
弊端,弊病
弊端,短处
弊端,坏处
弊端,流弊
弊端,流毒
弊端,毛病
壁垒森严,严阵以待
避讳,避忌
避祸,逃难
避忌,避讳
避免,防止
避难,出亡
避难,遁迹
避难,流亡
避难,逃亡
避让,躲避
避债,躲债
避重就轻,拈轻怕重
璧还,反璧
璧还,返璧
璧还,奉璧
璧还,奉还
璧还,奉赵
璧还,归赵
璧赵,璧还
边陲,边境
边幅,容貌
边际,边沿
边疆,边陲
边疆,边境
边疆,内地
边界,鸿沟
边界,界限
边境,边疆
边沿,边缘
边缘,边沿
边远,遥远
砭骨,澈骨
砭骨,刺骨
编缉,主笔
编辑,编纂
编录,辑录
编年,纪年
编削,删改
编造,假造
编者按,编者案
编者案,编者按
编纂,编辑
鞭策,鞭笞
鞭策,敦促
鞭策,鼓动
鞭笞,鞭挞
鞭辟入里,入木三分
鞭挞,拷打
鞭挞,抨击
鞭挞,扑打
鞭挞,扑挞
鞭长莫及,力所不及
贬斥,贬低
贬低,抬高
贬价,降价
贬义,褒义
贬抑,褒扬
贬责,褒奖
贬值,升值
扁豆,藊豆
藊豆,扁豆
弁急,遑急
弁冕,礼帽
弁言,引言
变本加厉,无以复加
变成,酿成
变动,变更
变动,变化
变动,改观
变动,更动
变动,更改
变革,变更
变革,变化
变革,革新
变革,厘革
变更,变动
变更,变革
变更,变卦
变更,变换
变更,调动
变更,调换
变化,变更
变化,转变
变化多端,变化无常
变化多端,变化无穷
变化多端,变幻莫测
变化多端,千变万化
变化多端,瞬息万变
变化无穷,变化多端
变化无穷,一成不变
变幻,幻化
变幻无穷,千变万化
变节,叛变
变乱,事变
变乱,事故
变乱,事件
变态,反常
变态,失常
变为,变成
变质,蜕变
便当,便利
便服,燕服
便函,私函
便可,即可
便利,便当
便利,方便
便是,即是
便是,就是
便条,条子
便宜,廉价
遍布,遍及
遍及,广泛
遍及,普及
遍体鳞伤,皮开肉绽
遍体鳞伤,伤痕累累
遍体鳞伤,体无完肤
辨白,剖白
辨别,分辨
辨别,鉴别
辨别,鉴识
辨别,判袂
辨别,区分
辨认,识别
辩白,辩护
辩白,分辩
辩白,分说
辩驳,回嘴
辩词,辩辞
辩辞,辩词
辩护,辩解
辩解,辩白
辩解,辩护
辩论,辩说
辩论,冲突
辩论,斗嘴
辩论,申辩
辩论,争辩
辩论,争吵
辩论,争持
辩论,争执
辩说,辩论
标记,标识表记标帜
标记,标志
标记,符号
标题,题目
标题问题,题目
标新立异,别具一格
标新立异,独树一帜
标语,口号
标志,标记
标致,美丽
标准,尺度
标准,规范
彪炳,特出
表白,表达
表白,剖明
表里,内外
表里如一,心口如一
表露,流露
表露,披露
表率,榜样
表面,概况
表面,轮廓
表面,皮相
表面,外表
表面,外观
表面,外面
表明,标明
表明,表白
表明,讲明
表明,解释
表明,评释
表明,注解
表情,脸色
表示,暗示
表示,表现
表示,默示
表示,示意
表示,透露表现
表态,亮相
表现,表示
表现,浮现
表现,施展阐发
表现,体现
表现,显露
表现,显示
表演,扮演
表扬,表彰
表彰,表扬
表彰,惩处
表彰,赞誉
别出心裁,别开生面
别出心裁,独出机杼
别出心裁,自出机杼
别传,外传
别的,此外
别的,另外
别的,其它
别的,其余
别号,别名
别具匠心,别出心裁
别开生面,标新立异
别开生面,别出机杼
别开生面,别具一格
别开生面,独具匠心
别开生面,匠心独运
别开生面,另具匠心
别离,分别
别离,分袂
别名,别号
别人,他人
别史,外史
别史,野史
别树一帜,标新立异
别无长物,一无长物
别析,剖辨
别析,剖别
别析,剖判
别有用心,心怀叵测
别致,新颖
蹩脚,糟糕
宾客盈庭,三千珠履
宾朋迎门,宾朋盈门
宾朋盈门,宾客盈门
宾朋盈门,宾朋迎门
宾朋盈门,高朋满座
宾至如归,门庭若市
彬彬有礼,文质彬彬
缤纷,绚丽
摈除,撵走
摈弃,摈斥
摈弃,摒除
摈弃,抛弃
摈弃,屏弃
鬓角,鬓脚
鬓脚,鬓角
冰壶秋月,光风霁月
冰冷,冰凉
冰冷,极冷
冰冷,严寒
冰脸,冷面
冰凉,冰冷
冰片,龙脑
冰清玉洁,不染纤尘
冰炭不洽,水火不容
冰天雪地,雪窖冰天
兵变,叛乱
兵出无名,师出无名
兵多将广,军多将广
兵法,兵书
兵戈,干戈
兵工,军工
兵荒马乱,太平盛世
兵舰,军舰
兵力,军力
兵临城下,十万火急
兵马,戎马
兵器,刀兵
兵器,火器
兵器,武器
兵强马壮,残兵败将
兵士,战士
兵书,兵法
兵凶战危,佳兵不祥
兵营,军营
兵种,军种
秉承,秉持
秉持,秉承
秉性,天性
禀承,遵奉
禀赋,天赋
并不,其实不
并不是,并非
并非,并不是
并行不悖,双管齐下
并驾齐驱,不相上下
并且,而且
并日而食,草衣木食
并吞,吞并
并无,并没有
并重,偏重
病国殃民,祸国殃民
病入膏肓,不可救药
病愈,康复
病愈,全愈
病愈,痊可
病愈,痊愈
病院,医院
摒挡,料理
摒挡,拾掇
摒挡,收拾
拨开,扒开
拨浪鼓,货郎鼓
拨弄,盘弄
波动,动摇
波及,涉及
波澜,波涛
波澜壮阔,汹涌澎湃
波浪,海浪
波涛,波澜
波折,挫折
波折,妨害
波折,荆棘
波折,曲折
剥夺,褫夺
剥极必复,否极必泰
剥削,抽剥
剥削,聚敛
剥削,克扣
剥削,盘剥
播送,广播
播种,收获
伯仲,昆季
伯仲,手足
驳斥,驳倒
驳斥,批驳
驳倒,驳斥
驳倒,批驳
驳回,采纳
驳诘,诘难
泊岸,靠岸
泊车,停车
勃然变色,怫然作色
勃然大怒,怒发冲冠
舶来品,进口货
舶来品,水货
博爱,泛爱
博大,广博
博大精深,胸无点墨
博得,赢得
博古通今,博学多闻
博古通今,见多识广
博古通今,见闻广博
博览会,展览会
博览群书,博学多才
博识,广博
博识,精深
博学多才,博古通今
博学多才,宏儒硕学
博学多闻,博古通今
搏斗,奋斗
搏斗,格斗
搏命,冒死
搏命,拚命
搏命,拼死
补偿,抵偿
补偿,赔偿
补充,弥补
补充,增补
补丁,补钉
补钉,补丁
补救,解救
补救,弥补
补葺,缮治
补葺,修缮
补台,拆台
补贴,补助
补助,补贴
补助,津贴
补缀,缝补
补缀,修理
捕风捉影,实事求是
捕获,捕捉
捕鱼,打鱼
捕捉,捕获
哺养,哺育
哺育,哺养
哺育,抚育
不安本分,不安分
不安分,不安本分
不安于室,不守妇道
不安于室,红杏出墙
不安于位,不守妇道
不卑不亢,不骄不躁
不比是,不像是
不必,不用
不必,没必要
不便,方便
不便,未便
不睬,不理
不测,意外
不畅,不顺畅
不成才,不长进
不成材,不长进
不成体统,有失体统
不吃烟火食,不食人间烟火
不迟不疾,从容不迫
不耻下可,虚怀若谷
不辞劳苦,不辞劳怨
不辞劳怨,不辞劳苦
不辞辛苦,任劳任怨
不搭腔,不搭嘴
不搭腔,不答腔
不搭嘴,不搭腔
不达时宜,不合时宜
不打不成相与,不打不相识
不打不相识,不打不成相识
不打不相识,不打不成相与
不打自招,屈打成招
不但,不单
不但,不光
不但,不仅
不但,不只
不当,不妥
不当,欠妥
不当准,不作数
不当准,不作准
不得不,不能不
不得善终,天诛地灭
不得要领,茫无头绪
不迭,不及
不动声色,若无其事
不断,不竭
不断,不时
不断,不息
不断,不休
不断,赓续
不断,接续
不断,络续
不断改进,精益求精
不对,不合错误
不对,差池
不对,差错
不对,舛错
不对,舛讹
不对,舛误
不对,过错
不对,过失
不对,谬误
不对,纰谬
不多,未几
不夺农时,不违农时
不二,不贰
不贰,不二
不乏其人,不胜枚举
不法,犯警
不法,犯科
不法,造孽
不凡,非凡
不妨,无妨
不分高下,难分轩轾
不分皁白,不顾曲直
不敷,不够
不敷,不足
不伏手,不顺手
不服水土,不伏水土
不服水土,水土不服
不该,不应
不敢则声,吞声忍气
不共戴天,令人切齿
不共戴天,你死我活
不共戴天,势不两立
不共戴天,誓不两立
不苟言笑,一本正经
不够,不敷
不够格,未入流
不顾,掉臂
不顾曲直,不分皁白
不顾外表,不拘小节
不顾一切,悍然不顾
不管,不论
不管是,不论是
不光,不但
不过,不外
不寒而栗,毛骨悚然
不行,不可
不好,欠好
不合,分歧
不合错误,不对
不合时宜,不达时宜
不和,和睦
不即不离,半推半就
不即不离,若即若离
不计其数,不可胜数
不佳,欠安
不假思索,搜索枯肠
不见圭角,不露锋芒
不仅,不但
不仅,不只
不仅仅,不单单
不近人情,通情达理
不禁,不由
不胫而走,不翼而飞
不胫而走,风行一时
不久不多,未几
不拘小节,不顾外表
不拘小节,落拓不羁
不拘一格,形形色色
不决,未定
不绝,不停
不刊之论,不易之论
不堪,不胜
不堪设想,不可思议
不堪一击,摧枯拉朽
不可,不成
不可,不行
不可,弗成
不可动摇,见异思迁
不可多得,车载斗量
不可救药,病入膏肓
不可开交,不亦乐乎
不可偻指算,更仆难数
不可企及,指日可待
不可胜数,不计其数
